proof_type,num_events,old_size,new_size,trials,proof_hashes,proof_size_bytes_json,proof_payload_bytes_raw,generation_time_ms_median,generation_time_ms_mean,verification_time_ms_median,verification_time_ms_mean,verified_all
consistency_external,1000,500,1000,1,9,1039,288,0.0,0.0,0.34445803612470627,0.34445803612470627,1
consistency_internal,1000,500,1000,1,9,1039,288,10.207875166088343,10.207875166088343,7.432000013068318,7.432000013068318,1
inclusion,1000,0,1000,1,10,750,320,5.967667093500495,5.967667093500495,0.01837499439716339,0.01837499439716339,1
consistency_external,10000,5000,10000,1,12,1245,384,0.0,0.0,0.4277501720935106,0.4277501720935106,1
consistency_internal,10000,5000,10000,1,12,1245,384,102.81620803289115,102.81620803289115,77.32154196128249,77.32154196128249,1
inclusion,10000,0,10000,1,14,1050,448,61.92508293315768,61.92508293315768,0.043584033846855164,0.043584033846855164,1
