method,num_events,seed,commit_time_ms,verify_time_ms,memory_peak_kb,throughput_eps,commitment_size_bytes,proof_size_bytes,clean_verified,trial
csv,1000000,42,27919.06466591172,4293.65229094401,1.2607421875,35817.81882617894,64,0,1,0
signed_digest,1000000,42,29254.804915981367,4233.787208097056,128.7587890625,34182.41902046382,269,0,1,0
hashchain,1000000,42,29346.7680409085,4709.535999922082,110790.7958984375,34075.302554817295,64,32,1,0
signed_hashchain,1000000,42,29247.54395801574,4802.099041873589,110918.6796875,34190.905104219346,268,32,1,0
merkle_signed,1000000,42,68815.57129090652,6330.737666925415,126797.380859375,14531.594830080889,268,1500,1,0
