method,tamper_detection_rate_mean,tamper_detection_rate_std,tamper_detection_rate_ci95,avg_verification_latency_ms_mean,avg_verification_latency_ms_std,avg_verification_latency_ms_ci95,avg_proof_size_bytes_mean,avg_proof_size_bytes_std,avg_proof_size_bytes_ci95,avg_commitment_size_bytes_mean,avg_commitment_size_bytes_std,avg_commitment_size_bytes_ci95,avg_attacked_log_size_bytes_mean,avg_attacked_log_size_bytes_std,avg_attacked_log_size_bytes_ci95,avg_artifact_overhead_ratio_mean,avg_artifact_overhead_ratio_std,avg_artifact_overhead_ratio_ci95,avg_commit_time_ms_mean,avg_commit_time_ms_std,avg_commit_time_ms_ci95,avg_memory_peak_kb_mean,avg_memory_peak_kb_std,avg_memory_peak_kb_ci95,avg_throughput_eps_mean,avg_throughput_eps_std,avg_throughput_eps_ci95
csv,1.0,0.0,0.0,4.414326501622175,0.2484230934571865,0.2811171941656353,0.0,0.0,0.0,64.0,0.0,0.0,56597.833333333336,2408.3008543801857,2725.2489672693714,1.0010722196240331,1.4167449443361813e-06,1.60319782697165e-06,28.959985667218763,0.26494929715853094,0.2998183541507168,1.2900390625,0.0009765625,0.001105084499620768,34532.32089914265,314.3148744244945,355.6807636241993
signed_digest,1.0,0.0,0.0,3.0595867331915847,0.9880386111649722,1.1180709419266477,0.0,0.0,0.0,266.0,0.0,0.0,56597.833333333336,2408.3008543801857,2725.2489672693714,1.0044564128123878,5.888346174841145e-06,6.6632909682874276e-06,31.124694738537073,0.8703564328532015,0.9849010207654879,128.7587890625,0.0,0.0,32145.352975774687,886.3854773461379,1003.0395921450726
hashchain,1.0,0.0,0.0,4.969008732587099,0.5310299968708977,0.6009170108167107,32.0,0.0,0.0,64.0,0.0,0.0,56597.833333333336,2408.3008543801857,2725.2489672693714,1.0016083294360498,2.1251174165305165e-06,2.404796740487173e-06,30.90590292898317,1.0892778675069679,1.2326339452538009,112.2431640625,0.0009765625,0.001105084499620768,32383.442711809254,1156.2374649517958,1308.4058628086175
signed_hashchain,1.0,0.0,0.0,2.902793426377078,0.19195520247422806,0.2172177601288556,32.0,0.0,0.0,265.0,0.0,0.0,56597.833333333336,2408.3008543801857,2725.2489672693714,1.004975769192779,6.574582007303103e-06,7.4398399157824056e-06,31.526332953944802,0.8542531965512654,0.966678493450544,240.0234375,0.0,0.0,31734.839498688918,848.3380218420317,959.9848431376116
merkle_signed,1.0,0.0,0.0,5.750699686662604,0.3312827182806651,0.3748816864913374,750.0,0.0,0.0,265.0,0.0,0.0,56597.833333333336,2408.3008543801857,2725.2489672693714,1.017004733099901,2.2468689351479517e-05,2.5425715537012967e-05,70.78123597117762,2.554813249609435,2.8910433500868105,239.8916015625,0.0,0.0,14140.482664117313,517.2331057929382,585.3043588121445
