method,tamper_detection_rate_mean,tamper_detection_rate_std,tamper_detection_rate_ci95,avg_verification_latency_ms_mean,avg_verification_latency_ms_std,avg_verification_latency_ms_ci95,avg_proof_size_bytes_mean,avg_proof_size_bytes_std,avg_proof_size_bytes_ci95,avg_commitment_size_bytes_mean,avg_commitment_size_bytes_std,avg_commitment_size_bytes_ci95,avg_attacked_log_size_bytes_mean,avg_attacked_log_size_bytes_std,avg_attacked_log_size_bytes_ci95,avg_artifact_overhead_ratio_mean,avg_artifact_overhead_ratio_std,avg_artifact_overhead_ratio_ci95,avg_commit_time_ms_mean,avg_commit_time_ms_std,avg_commit_time_ms_ci95,avg_memory_peak_kb_mean,avg_memory_peak_kb_std,avg_memory_peak_kb_ci95,avg_throughput_eps_mean,avg_throughput_eps_std,avg_throughput_eps_ci95
csv,1.0,0.0,0.0,4.1882484025942786,0.07741850154772176,0.08760728170931585,0.0,0.0,0.0,64.0,0.0,0.0,53709.25,2357.0430064754864,2667.245251989088,1.0011300304466249,9.106941288219201e-07,1.0305474208325048e-06,28.445930608237784,0.49528261127141826,0.5604650359272885,333.0654296875,0.05078125,0.05746439398027994,35161.449869903685,606.2096307233867,685.9907752276423
hashchain,1.0,0.0,0.0,4.666262083143617,0.12871982928882403,0.14566019905629266,32.0,0.0,0.0,64.0,0.0,0.0,53709.25,2357.0430064754864,2667.245251989088,1.0016950456699374,1.36604119323045e-06,1.5458211312460071e-06,29.932444371903937,0.7024620807112986,0.7949106759325789,112.2333984375,0.01014873520059889,0.011484375,33420.671727360364,773.8440024747981,875.6869245536202
merkle_signed,1.0,0.0,0.0,5.357762119577576,0.2323592381823302,0.26293923067799885,750.0,0.0,0.0,265.0,0.0,0.0,53709.25,2357.0430064754864,2667.245251989088,1.0179215766144425,1.444303969901802e-05,1.634383800196323e-05,67.54262497027715,0.5801690869551858,0.6565231259169888,239.8916015625,0.0,0.0,14806.197093808538,127.76696881616895,144.58193592553303
