method,num_events,seed,commit_time_ms,verify_time_ms,memory_peak_kb,throughput_eps,commitment_size_bytes,proof_size_bytes,clean_verified,trial
csv,10,7,0.40562497451901436,0.056833960115909576,1.29296875,24653.31433760431,64,0,1,0
signed_digest,10,7,10.396250057965517,1.4635419938713312,128.7587890625,961.8852898154452,264,0,1,0
hashchain,10,7,0.3503751941025257,0.0639590434730053,2.240234375,28540.833279064358,64,32,1,0
signed_hashchain,10,7,0.6941668689250946,0.3273340407758951,130.111328125,14405.758107535192,263,32,1,0
merkle_signed,10,7,1.137208892032504,0.370916910469532,129.9091796875,8793.459205306826,263,300,1,0
