proof_type,num_events,old_size,new_size,trials,proof_hashes,proof_size_bytes_json,proof_payload_bytes_raw,generation_time_ms_median,generation_time_ms_mean,verification_time_ms_median,verification_time_ms_mean,verified_all
consistency_external,10,5,10,3,5,763,160,0.0,0.0,0.23979204706847668,0.24190304490427175,1
consistency_internal,10,5,10,3,5,763,160,0.3017501439899206,0.30509700688223046,0.06925011985003948,0.07022226539750893,1
inclusion,10,0,10,3,4,300,128,0.05737505853176117,0.057652670269211136,0.008833827450871468,0.009291572496294975,1
consistency_external,20,10,20,3,5,764,160,0.0,0.0,0.26275007985532284,0.25966670364141464,1
consistency_internal,20,10,20,3,5,764,160,0.45654200948774815,0.44184736907482147,0.14337501488626003,0.14487498750289282,1
inclusion,20,0,20,3,5,375,160,0.11458410881459713,0.11372240260243416,0.009624985978007317,0.009888705487052599,1
