method,num_events,seed,commit_time_ms,verify_time_ms,memory_peak_kb,throughput_eps,commitment_size_bytes,proof_size_bytes,clean_verified,trial
csv,1000000,42,30105.060750152916,4429.266958031803,1.2900390625,33217.00654581541,64,0,1,0
signed_digest,1000000,42,29663.270875113085,4730.5632079951465,128.7587890625,33711.72397710803,269,0,1,0
hashchain,1000000,42,36001.55979208648,5270.556666888297,110790.830078125,27776.574286645504,64,32,1,0
signed_hashchain,1000000,42,31955.03966603428,5288.820083020255,110918.6796875,31293.968352132015,268,32,1,0
merkle_signed,1000000,42,74416.2715410348,6137.607665965334,126797.380859375,13437.921294519272,268,1500,1,0
