method,num_events,seed,commit_time_ms,verify_time_ms,memory_peak_kb,throughput_eps,commitment_size_bytes,proof_size_bytes,clean_verified,trial
signed_hashchain,10000,42,2036.1004581209272,73.24754097498953,1237.2578125,4911.349025101042,266,32,1,1
signed_hashchain,10000,42,369.1960000433028,54.413083009421825,1237.2578125,27085.883917558982,266,32,1,2
signed_hashchain,10000,42,412.8668748307973,58.10666712932289,1237.2578125,24220.882346393708,266,32,1,3
signed_hashchain,10000,42,312.5044999178499,61.548458179458976,1237.2578125,31999.539215047353,266,32,1,4
merkle_signed,10000,42,1138.5280841495842,61.281791888177395,1316.451171875,8783.270381485085,266,1050,1,0
merkle_signed,10000,42,677.6718329638243,59.2576670460403,1316.443359375,14756.404964132284,266,1050,1,1
merkle_signed,10000,42,672.4868330638856,61.43433297984302,1316.435546875,14870.17962037929,266,1050,1,2
merkle_signed,10000,42,666.4029168896377,59.21808280982077,1316.427734375,15005.9367186955,266,1050,1,3
merkle_signed,10000,42,672.4516660906374,59.099458158016205,1316.419921875,14870.957281042909,266,1050,1,4
csv,100000,42,2921.18883295916,441.16208399645984,1.142578125,34232.63805191948,64,0,1,0
csv,100000,42,3110.2147500496358,439.2896250355989,1.142578125,32152.12068504405,64,0,1,1
csv,100000,42,2915.6198750715703,440.85224997252226,1.142578125,34298.023845630865,64,0,1,2
csv,100000,42,2862.3190000653267,438.3542500436306,1.142578125,34936.70691412023,64,0,1,3
csv,100000,42,2950.0798748340458,582.4306670110673,1.142578125,33897.3872718024,64,0,1,4
signed_digest,100000,42,3409.732042113319,443.3569998946041,128.7587890625,29327.817777147367,268,0,1,0
signed_digest,100000,42,2876.5300831291825,517.3742501065135,128.7587890625,34764.10713953555,268,0,1,1
signed_digest,100000,42,2925.3737919498235,494.2052091937512,128.7587890625,34183.66578492791,268,0,1,2
signed_digest,100000,42,3171.6095409356058,540.5534999445081,128.7587890625,31529.732367528635,268,0,1,3
signed_digest,100000,42,3102.9930831864476,444.79395798407495,128.7587890625,32226.94905182016,268,0,1,4
hashchain,100000,42,3023.903707973659,519.6127910166979,11037.1630859375,33069.83609838911,64,32,1,0
hashchain,100000,42,3014.110832940787,491.9387500267476,11037.1630859375,33177.28031335619,64,32,1,1
hashchain,100000,42,3364.2649999819696,519.3448748905212,11037.1630859375,29724.174522677597,64,32,1,2
hashchain,100000,42,3446.3840001262724,494.95458300225437,11037.1630859375,29015.91929289832,64,32,1,3
hashchain,100000,42,3352.839875034988,531.35991608724,11037.1630859375,29825.462511524343,64,32,1,4
signed_hashchain,100000,42,3615.587041946128,1450.177000137046,11164.8046875,27658.025886212366,267,32,1,0
signed_hashchain,100000,42,3360.8743329532444,517.3507079016417,11164.8046875,29754.162189137456,267,32,1,1
signed_hashchain,100000,42,3569.524166872725,532.9144580755383,11164.8046875,28014.93849742175,267,32,1,2
signed_hashchain,100000,42,3448.8879169803113,511.8821251671761,11164.8046875,28994.853531672736,267,32,1,3
signed_hashchain,100000,42,3069.997417042032,500.32329093664885,11164.8046875,32573.317307983547,267,32,1,4
merkle_signed,100000,42,6953.77462496981,628.2026248518378,12843.294921875,14380.678896453903,267,1275,1,0
merkle_signed,100000,42,6997.62741709128,603.6780001595616,12843.068359375,14290.557933358394,267,1275,1,1
merkle_signed,100000,42,6946.914833039045,598.0270409490913,12843.052734375,14394.879223854441,267,1275,1,2
merkle_signed,100000,42,8938.78470803611,868.6210419982672,12843.044921875,11187.203100450379,267,1275,1,3
merkle_signed,100000,42,7462.861124891788,632.0190408732742,12843.037109375,13399.68657147563,267,1275,1,4
