proof_type,num_events,old_size,new_size,trials,proof_hashes,proof_size_bytes_json,proof_payload_bytes_raw,generation_time_ms_median,generation_time_ms_mean,verification_time_ms_median,verification_time_ms_mean,verified_all
consistency_external,1000,500,1000,5,9,1039,288,0.0,0.0,0.3314591012895107,0.339225260540843,1
consistency_internal,1000,500,1000,5,9,1039,288,10.248000035062432,11.08801681548357,7.4789999052882195,7.635266566649079,1
inclusion,1000,0,1000,5,10,750,320,6.121000042185187,6.176291825249791,0.018458813428878784,0.018041860312223434,1
consistency_external,10000,5000,10000,5,12,1245,384,0.0,0.0,0.3093332052230835,0.3243162762373686,1
consistency_internal,10000,5000,10000,5,12,1245,384,97.20733412541449,97.56840849295259,73.00929096527398,73.27727503143251,1
inclusion,10000,0,10000,5,14,1050,448,58.49758302792907,58.58870027586818,0.019333092495799065,0.01879977062344551,1
consistency_external,100000,50000,100000,5,14,1383,448,0.0,0.0,0.4677081014961004,0.46608345583081245,1
consistency_internal,100000,50000,100000,5,14,1383,448,1002.4357079528272,1009.8961415700614,753.5506670828909,753.7618333939463,1
inclusion,100000,0,100000,5,17,1275,544,614.3400410655886,626.7611664254218,0.06083305925130844,0.05955821834504604,1
